1644515901076	PolyGesture	InputEvent	TouchEvent (cursorPosition=534): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=175.0, y[0]=153.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=90095206, downTime=90095206, deviceId=6, source=0x1002, displayId=0 }
1644515901138	PolyGesture	InputEvent	TouchEvent (cursorPosition=534): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=175.0, y[0]=153.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=90095269, downTime=90095206, deviceId=6, source=0x1002, displayId=0 }
1644515901147	PolyGesture	InputEvent	SelectionChanged 103 103

1644515901170	PolyGesture	InputEvent	BeginBatchEdit

1644515901170	PolyGesture	InputEvent	BeginBatchEdit

1644515901187	PolyGesture	InputEvent	BeginBatchEdit

1644515901209	PolyGesture	InputEvent	BeginBatchEdit

1644515901417	PolyGesture	InputEvent	BeginBatchEdit

1644515901419	PolyGesture	InputEvent	BeginBatchEdit

1644515901440	PolyGesture	InputEvent	BeginBatchEdit

1644515902372	PolyGesture	InputEvent	SelectionChanged 103 104

1644515902393	PolyGesture	InputEvent	BeginBatchEdit

1644515902395	PolyGesture	InputEvent	BeginBatchEdit

1644515902547	PolyGesture	InputEvent	SelectionChanged 103 105

1644515902565	PolyGesture	InputEvent	BeginBatchEdit

1644515902569	PolyGesture	InputEvent	BeginBatchEdit

1644515902714	PolyGesture	InputEvent	SelectionChanged 103 106

1644515902727	PolyGesture	InputEvent	BeginBatchEdit

1644515902729	PolyGesture	InputEvent	BeginBatchEdit

1644515902875	PolyGesture	InputEvent	SelectionChanged 103 107

1644515902889	PolyGesture	InputEvent	BeginBatchEdit

1644515902892	PolyGesture	InputEvent	BeginBatchEdit

1644515903041	PolyGesture	InputEvent	SelectionChanged 103 108

1644515903056	PolyGesture	InputEvent	BeginBatchEdit

1644515903059	PolyGesture	InputEvent	BeginBatchEdit

1644515903188	PolyGesture	InputEvent	SelectionChanged 103 109

1644515903212	PolyGesture	InputEvent	BeginBatchEdit

1644515903214	PolyGesture	InputEvent	BeginBatchEdit

1644515903416	PolyGesture	InputEvent	BeginBatchEdit

1644515903420	PolyGesture	InputEvent	BeginBatchEdit

1644515903434	PolyGesture	InputEvent	BeginBatchEdit

1644515904035	PolyGesture	InputEvent	BeginBatchEdit

1644515904036	PolyGesture	InputEvent	SelectionChanged 109 109

1644515904045	PolyGesture	InputEvent	SelectionChanged 0 0

