1644485044615	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 256 6 5

1644485044622	PolyGesture	InputEvent	SelectionChanged 261 261

1644485044637	PolyGesture	InputEvent	BeginBatchEdit

1644485044640	PolyGesture	InputEvent	BeginBatchEdit

1644485044641	PolyGesture	InputEvent	BeginBatchEdit

1644485044641	PolyGesture	InputEvent	BeginBatchEdit

1644485044653	PolyGesture	InputEvent	BeginBatchEdit

1644485044653	PolyGesture	InputEvent	BeginBatchEdit

1644485044654	PolyGesture	InputEvent	BeginBatchEdit

1644485044663	PolyGesture	InputEvent	BeginBatchEdit

1644485044665	PolyGesture	InputEvent	BeginBatchEdit

1644485044665	PolyGesture	InputEvent	BeginBatchEdit

1644485044666	PolyGesture	InputEvent	BeginBatchEdit

1644485044667	PolyGesture	InputEvent	BeginBatchEdit

1644485044668	PolyGesture	InputEvent	BeginBatchEdit

1644485044669	PolyGesture	InputEvent	BeginBatchEdit

1644485044670	PolyGesture	InputEvent	BeginBatchEdit

1644485044670	PolyGesture	InputEvent	BeginBatchEdit

1644485044690	PolyGesture	InputEvent	BeginBatchEdit

1644485044691	PolyGesture	InputEvent	BeginBatchEdit

1644485044708	PolyGesture	InputEvent	BeginBatchEdit

1644485044709	PolyGesture	InputEvent	BeginBatchEdit

1644485044758	PolyGesture	InputEvent	BeginBatchEdit

1644485044760	PolyGesture	InputEvent	BeginBatchEdit

1644485044782	PolyGesture	InputEvent	BeginBatchEdit

1644485044790	PolyGesture	InputEvent	SelectionChanged 0 0

1644485044792	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 525 525

1644485044798	PolyGesture	InputEvent	SelectionChanged 260 260

1644485044800	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 256 5 4

1644485044804	PolyGesture	InputEvent	SelectionChanged 260 260

1644485044819	PolyGesture	InputEvent	BeginBatchEdit

1644485044821	PolyGesture	InputEvent	BeginBatchEdit

1644485044822	PolyGesture	InputEvent	BeginBatchEdit

1644485044823	PolyGesture	InputEvent	BeginBatchEdit

1644485044842	PolyGesture	InputEvent	BeginBatchEdit

1644485044842	PolyGesture	InputEvent	BeginBatchEdit

1644485044843	PolyGesture	InputEvent	BeginBatchEdit

1644485044843	PolyGesture	InputEvent	BeginBatchEdit

1644485044853	PolyGesture	InputEvent	BeginBatchEdit

1644485044853	PolyGesture	InputEvent	BeginBatchEdit

1644485044855	PolyGesture	InputEvent	BeginBatchEdit

1644485044855	PolyGesture	InputEvent	BeginBatchEdit

1644485044856	PolyGesture	InputEvent	BeginBatchEdit

1644485044858	PolyGesture	InputEvent	BeginBatchEdit

1644485044858	PolyGesture	InputEvent	BeginBatchEdit

1644485044878	PolyGesture	InputEvent	BeginBatchEdit

1644485044880	PolyGesture	InputEvent	BeginBatchEdit

1644485044881	PolyGesture	InputEvent	BeginBatchEdit

1644485044897	PolyGesture	InputEvent	BeginBatchEdit

1644485044898	PolyGesture	InputEvent	BeginBatchEdit

1644485044932	PolyGesture	InputEvent	BeginBatchEdit

1644485044934	PolyGesture	InputEvent	BeginBatchEdit

1644485044958	PolyGesture	InputEvent	BeginBatchEdit

1644485044963	PolyGesture	InputEvent	SelectionChanged 0 0

