1644605223439	PolyGesture	InputEvent	BeginBatchEdit

1644605223466	PolyGesture	InputEvent	BeginBatchEdit

1644605223468	PolyGesture	InputEvent	BeginBatchEdit

1644605223470	PolyGesture	InputEvent	BeginBatchEdit

1644605223471	PolyGesture	InputEvent	BeginBatchEdit

1644605223473	PolyGesture	InputEvent	BeginBatchEdit

1644605223474	PolyGesture	InputEvent	BeginBatchEdit

1644605223475	PolyGesture	InputEvent	BeginBatchEdit

1644605223495	PolyGesture	InputEvent	BeginBatchEdit

1644605223496	PolyGesture	InputEvent	BeginBatchEdit

1644605223497	PolyGesture	InputEvent	BeginBatchEdit

1644605223529	PolyGesture	InputEvent	BeginBatchEdit

1644605223530	PolyGesture	InputEvent	BeginBatchEdit

1644605223549	PolyGesture	InputEvent	BeginBatchEdit

1644605223553	PolyGesture	InputEvent	BeginBatchEdit

1644605223557	PolyGesture	InputEvent	BeginBatchEdit

1644605223564	PolyGesture	InputEvent	SelectionChanged 0 0

1644605223567	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 530 530

1644605223575	PolyGesture	InputEvent	SelectionChanged 105 105

1644605223576	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 103 3 2

1644605223583	PolyGesture	InputEvent	SelectionChanged 105 105

1644605223597	PolyGesture	InputEvent	BeginBatchEdit

1644605223599	PolyGesture	InputEvent	BeginBatchEdit

1644605223600	PolyGesture	InputEvent	BeginBatchEdit

1644605223600	PolyGesture	InputEvent	BeginBatchEdit

1644605223626	PolyGesture	InputEvent	BeginBatchEdit

1644605223626	PolyGesture	InputEvent	BeginBatchEdit

1644605223627	PolyGesture	InputEvent	BeginBatchEdit

1644605223628	PolyGesture	InputEvent	BeginBatchEdit

1644605223659	PolyGesture	InputEvent	BeginBatchEdit

1644605223659	PolyGesture	InputEvent	BeginBatchEdit

1644605223661	PolyGesture	InputEvent	BeginBatchEdit

1644605223662	PolyGesture	InputEvent	BeginBatchEdit

1644605223665	PolyGesture	InputEvent	BeginBatchEdit

1644605223665	PolyGesture	InputEvent	BeginBatchEdit

1644605223667	PolyGesture	InputEvent	BeginBatchEdit

1644605223667	PolyGesture	InputEvent	BeginBatchEdit

